source,primary_id,name,version,loader,file,weapon_suspect,category,path,length
aeronaftics,apothic_spawners,Apothic Spawners,1.3.4,neoforge,ApothicSpawners-1.21.1-1.3.4.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ApothicSpawners-1.21.1-1.3.4.jar,125015
aeronaftics,appflux,AppliedFlux,1.21-2.1.4-neoforge,neoforge,AppliedFlux-1.21-2.1.4-neoforge.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\AppliedFlux-1.21-2.1.4-neoforge.jar,337796
aeronaftics,appmek,Applied Mekanistics,1.6.3,neoforge,Applied-Mekanistics-1.6.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Applied-Mekanistics-1.6.3.jar,149709
aeronaftics,aquaculture,Aquaculture 2,2.7.19,neoforge,Aquaculture-1.21.1-2.7.19.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Aquaculture-1.21.1-2.7.19.jar,605954
aeronaftics,ars_additions,Ars Additions,1.21.1-21.3.0,neoforge,ars_additions-1.21.1-21.3.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_additions-1.21.1-21.3.0.jar,1458261
aeronaftics,ars_controle,Ars Controle,1.21.1-1.6.15,neoforge,ars_controle-1.21.1-1.6.15.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_controle-1.21.1-1.6.15.jar,316368
aeronaftics,ars_creo,Ars Creo,${file.jarVersion},neoforge,ars_creo-1.21.1-5.2.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_creo-1.21.1-5.2.0.jar,74550
aeronaftics,ars_elemancy,Ars Elemancy,${file.jarVersion},neoforge,ars_elemancy-1.21.1-1.16.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_elemancy-1.21.1-1.16.jar,767615
aeronaftics,ars_elemental,Ars Elemental,${file.jarVersion},neoforge,ars_elemental-1.21.1-0.7.9_beta.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_elemental-1.21.1-0.7.9_beta.jar,2293304
aeronaftics,ars_nouveau,Ars Nouveau,${file.jarVersion},neoforge,ars_nouveau-1.21.1-5.11.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_nouveau-1.21.1-5.11.3.jar,20689115
aeronaftics,ars_ocultas,Ars Ocultas,2.4.0,neoforge,ars_ocultas-1.21.1-2.4.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_ocultas-1.21.1-2.4.0.jar,78505
aeronaftics,ars_polymorphia,Ars Polymorphia,1.0.3,neoforge,ars_polymorphia-1.0.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_polymorphia-1.0.3.jar,20201
aeronaftics,ars_technica,Ars Technica,2.7.6,neoforge,ars_technica-1.21.1-2.7.6.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_technica-1.21.1-2.7.6.jar,3691171
aeronaftics,ars_unification,Ars Unification,1.2.18,neoforge,ars_unification-1.2.18.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ars_unification-1.2.18.jar,105429
aeronaftics,arseng,Ars Énergistique,2.1.1-beta,neoforge,arseng-2.1.1-beta.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\arseng-2.1.1-beta.jar,123229
aeronaftics,atlas_api,Atlas API,1.21.1-1.2.0,neoforge,atlas_api-1.21.1-1.2.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\atlas_api-1.21.1-1.2.0.jar,28419
aeronaftics,attributefix,AttributeFix,21.1.3,neoforge,attributefix-neoforge-1.21.1-21.1.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\attributefix-neoforge-1.21.1-21.1.3.jar,19809
aeronaftics,auroras,Auroras,1.6.2,neoforge,Auroras-1.21-1.6.2.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Auroras-1.21-1.6.2.jar,2116122
aeronaftics,bcc,Better Compatibility Checker,21.1.8,neoforge,better-compatability-checker-neoforge-21.1.8.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\better-compatability-checker-neoforge-21.1.8.jar,25085
aeronaftics,betteradvancements,Better Advancements,0.4.3.21,neoforge,BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar,98641
aeronaftics,betterdeserttemples,YUNG's Better Desert Temples,1.21.1-NeoForge-4.1.5,neoforge,YungsBetterDesertTemples-1.21.1-NeoForge-4.1.5.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\YungsBetterDesertTemples-1.21.1-NeoForge-4.1.5.jar,905839
aeronaftics,betterdungeons,YUNG's Better Dungeons,1.21.1-NeoForge-5.1.4,neoforge,YungsBetterDungeons-1.21.1-NeoForge-5.1.4.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\YungsBetterDungeons-1.21.1-NeoForge-5.1.4.jar,782160
aeronaftics,betterendisland,YUNG's Better End Island,1.21.1-NeoForge-3.1.2,neoforge,YungsBetterEndIsland-1.21.1-NeoForge-3.1.2.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\YungsBetterEndIsland-1.21.1-NeoForge-3.1.2.jar,398130
aeronaftics,betterfortresses,YUNG's Better Nether Fortresses,1.21.1-NeoForge-3.1.5,neoforge,YungsBetterNetherFortresses-1.21.1-NeoForge-3.1.5.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\YungsBetterNetherFortresses-1.21.1-NeoForge-3.1.5.jar,609639
aeronaftics,betterjungletemples,YUNG's Better Jungle Temples,1.21.1-NeoForge-3.1.2,neoforge,YungsBetterJungleTemples-1.21.1-NeoForge-3.1.2.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\YungsBetterJungleTemples-1.21.1-NeoForge-3.1.2.jar,795839
aeronaftics,bettermineshafts,YUNG's Better Mineshafts,1.21.1-NeoForge-5.1.1,neoforge,YungsBetterMineshafts-1.21.1-NeoForge-5.1.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\YungsBetterMineshafts-1.21.1-NeoForge-5.1.1.jar,493967
aeronaftics,betteroceanmonuments,YUNG's Better Ocean Monuments,1.21.1-NeoForge-4.1.2,neoforge,YungsBetterOceanMonuments-1.21.1-NeoForge-4.1.2.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\YungsBetterOceanMonuments-1.21.1-NeoForge-4.1.2.jar,1025571
aeronaftics,betterstrongholds,YUNG's Better Strongholds,1.21.1-NeoForge-5.1.3,neoforge,YungsBetterStrongholds-1.21.1-NeoForge-5.1.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\YungsBetterStrongholds-1.21.1-NeoForge-5.1.3.jar,461244
aeronaftics,betterwitchhuts,YUNG's Better Witch Huts,1.21.1-NeoForge-4.1.1,neoforge,YungsBetterWitchHuts-1.21.1-NeoForge-4.1.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\YungsBetterWitchHuts-1.21.1-NeoForge-4.1.1.jar,174789
aeronaftics,bhc,Baubley Heart Canisters,1.21.1-1.4.0,neoforge,baubley-heart-canisters-1.21.1-1.4.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\baubley-heart-canisters-1.21.1-1.4.0.jar,177638
aeronaftics,bibliobiomes,Bibliobiomes Legacy,1.6.1,neoforge,bibliobiomes-1.21.1-1.6.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\bibliobiomes-1.21.1-1.6.1.jar,20181755
aeronaftics,bibliocraft,Bibliocraft Legacy,1.6.5,neoforge,bibliocraft-1.21.1-1.6.5.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\bibliocraft-1.21.1-1.6.5.jar,5471083
